Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
817,32,546.6222,546.8788,256.69,4,54.3,85.5,166.68,89.84,118.83,9.7,59.62
818,32,575.4406,575.8594,418.75,6,45.4,83.71,152.63,88.25,104.44,16.03,71.44
819,32,604.1089,605.2518,1142.9,11,48.1,114.27,164.43,108.1,106.83,20.8,58.15
820,32,648.2332,649.1208,887.55,11,34.7,88.74,155.24,117.48,98.22,18.19,57.49
821,32,670.1474,670.4114,263.99,3,46.2,131.89,159.86,100.12,90,8.44,87.19
822,32,976.9,978.0119,1111.95,6,45.9,222.35,162.68,89.99,111.84,10.03,28.97
823,32,1014.8388,1017.1237,2284.85,39,60.9,57.87,173.29,88.9,115.85,10.54,55.46
824,32,1017.5154,1019.0583,1542.89,24,55,67.07,167.38,70.38,84.63,22.29,67.55
825,32,1021.912,1023.7275,1815.46,31,45.1,60.51,164.95,78.64,87.7,19.09,75.49
826,32,1040.2365,1042.7133,2476.74,46,53.3,55.03,164.68,84.81,116.11,9.42,38.9
827,33,1524.7877,1526.6546,1866.89,13,48.7,155.56,163.17,91.21,106.4,10.69,37.64
828,34,48.3647,50.0583,1693.57,17,48.3,105.62,161.41,102.84,99.72,9.98,35.08
829,34,217.8142,218.7792,965.01,10,42.8,107.03,156.46,99.19,85.5,10.48,53.88
830,35,1494.6217,1495.7883,1166.61,8,35.8,166.63,147.68,107.34,89.33,17.05,61.5
831,35,1498.2502,1499.8737,1623.5,16,43.5,108.22,151.83,103.52,92.74,14.73,55.23
832,35,1502.5264,1503.7648,1238.41,21,49.4,61.91,161.09,88.87,93.46,12.88,52.37
