Train_num(No.),Ori_file_num(No.),Train_start(s),Train_end(s),Train_duration(ms),Num_of_pulses,Mean_SNR(dB),Mean_IPI(ms),Mean_SPLpp(dB),Mean_Duration(μs),Mean_Fpeak(kHz),Mean_Bandwidth_-3dB(kHz),Mean_Bandwidth_-10dB(kHz)
425,14,404.5804,405.2401,659.72,14,50.5,48.46,173.3,88.14,88.93,22.62,103.66
426,14,408.5378,409.2018,663.99,16,47.8,42.54,170.6,71.06,76.83,21.63,77.95
427,14,455.0987,456.4233,1324.69,22,61.6,63.07,177.04,87.75,116.95,11.74,75.3
428,14,470.5794,470.9455,366.12,9,47.8,45.74,166.65,58.06,75.38,21.5,98.5
429,14,543.1774,544.6919,1514.51,31,57.7,49.94,176.39,80.03,92.34,10.89,84.61
430,14,551.9808,552.162,181.21,5,46.8,45.25,166.61,37.85,69.75,48.38,87.3
431,14,554.193,554.4111,218.08,7,41.6,36.31,160.56,43.09,56.76,31.64,81.64
432,14,556.0193,556.4904,471.07,15,44.3,33.58,167.32,50.75,82.44,18.79,85.1
433,14,591.798,592.5654,767.43,10,42.5,70.06,161.13,60.89,75.41,20.35,53.2
434,14,607.518,609.049,1530.99,21,47.3,76.26,165.16,99.12,103.84,9.98,51.13
435,14,611.0566,612.6438,1587.15,25,55.9,66.12,170.2,83.82,90.14,12.55,72.92
436,14,613.0482,615.2482,2200.03,37,51.4,61.11,170.05,85.55,113.95,20.12,102.48
437,14,615.8144,622.8214,7006.98,138,52.3,51.06,171.4,73.64,97.59,22.48,101.1
438,14,624.257,625.7553,1498.3,30,60.7,51.66,175.92,47.69,102.67,17.87,99.49
439,14,628.3489,629.6938,1344.92,56,60.9,24.45,180.71,74.68,73.71,14.52,89.77
440,14,630.0035,630.6973,693.76,16,43.1,45.44,162.64,37.45,58.05,37.9,78.16
441,14,639.9604,640.9101,949.71,25,49.9,39.46,167.95,58.08,65.54,28.54,92.75
442,14,644.1037,645.0438,940.14,39,44.6,24.61,162.75,52.87,69.84,43.86,99.74
443,14,651.9247,652.3904,465.68,13,55.1,38.79,171.32,37.13,59.37,29.99,105.97
444,14,672.5566,674.3529,1796.32,60,58.2,30.44,175.64,66.72,81.99,22.66,96.44
445,14,687.3898,688.2349,845.12,18,61.3,49.7,172.86,33.85,88.25,42.22,93.25
446,14,688.66,691.137,2476.93,84,56.2,29.84,170.62,29.33,90.83,44.4,105.04
447,14,691.5457,691.725,179.31,6,56.7,35.82,169.16,24.88,82.97,47.81,87.75
448,14,694.0627,698.0233,3960.6,229,55.5,17.37,170.95,41.32,92.39,26.68,106.31
449,14,698.7255,699.3846,659.09,24,58,28.65,175.18,46.95,84.4,21.59,91.27
450,14,722.3818,723.0695,687.72,18,54.1,40.44,170.64,53.02,91.9,26.8,98.76
451,14,1457.6406,1458.9426,1301.96,16,44.7,84.65,165.45,80.88,84.29,16.1,79.43
452,14,1480.61,1481.7655,1155.52,23,48.7,52.18,169.63,78.17,70.55,16.71,62.24
453,14,1483.2738,1483.4468,172.93,4,42.3,57.58,156.08,43.4,77.34,20.81,78.47
454,14,1506.8122,1507.4651,652.93,19,45,36.26,160.45,72.46,98.56,15.04,89.82
455,14,1508.5409,1510.4901,1949.2,76,54.1,25.99,167.67,64.26,96.13,13.12,106.63
456,14,1510.6918,1511.3843,692.54,29,56.7,24.73,169.13,52.14,92.5,20.73,83.13
457,14,1511.7235,1512.0408,317.27,14,49.7,24.39,167.64,58.78,86.67,23.87,120.25
458,14,1512.3356,1512.8463,510.64,14,59.6,39.26,174.66,69.07,85.1,13.22,98.6
459,14,1513.1844,1513.3522,167.8,8,56.9,23.94,169.62,68.14,85.85,17.51,119.95
460,14,1521.3362,1528.7946,7458.45,106,58.8,71.03,170.33,62.25,100.29,15.46,75.85
461,14,1529.1514,1530.2431,1091.71,15,49.3,75.56,164.31,82.23,100.02,12.96,68.53
462,14,1532.9347,1533.8581,923.43,13,49.3,76.94,165.42,63.84,94.41,17.87,64.38
463,14,1534.6655,1536.3735,1707.96,23,51.4,77.28,165.63,81.21,98.41,19.65,88.71
464,14,1546.1434,1546.7198,576.44,15,39.2,40.67,151.54,90.87,79.43,13.34,84.05
465,14,1547.59,1548.6291,1039.1,18,48.7,60.07,164.58,62.56,92.46,33.57,87.67
466,14,1550.929,1551.5371,608.06,16,57.3,40.52,166.83,72.92,98.68,10.58,91.86
467,14,1552.7408,1553.2284,487.6,9,46.9,60.31,165.84,55.6,83.29,31.19,84.1
468,14,1553.9239,1554.5265,602.64,14,55.1,46.34,162.11,65.85,100,11.69,102.9
469,14,1555.1419,1557.6642,2522.34,38,49.7,68.17,163.56,75.04,82.12,13.87,91.59
470,14,1558.3752,1558.8616,486.36,10,51.3,54.02,163.2,60.1,77.95,23.67,96.43
471,14,1560.3956,1561.0053,609.73,12,48.9,55.41,159.81,41.37,69.51,40.81,95.01
472,14,1589.5886,1590.2962,707.54,6,48.9,141.47,161.63,59.61,67.31,21.75,62.16
473,14,1590.8028,1595.5789,4776.13,50,48.2,97.47,159.53,60.2,92.71,25.72,78.64
474,15,170.1877,173.204,3016.27,65,48.7,46.21,168.68,65.45,107.9,20.64,82.3
475,15,929.0371,931.8921,2854.96,44,50.8,66.13,158.57,76.87,112,11.34,66.17
476,15,987.2913,990.6763,3385.03,46,53.8,75.16,166.08,56.6,106.3,17.37,85.85
477,16,569.0616,569.3176,255.97,3,30.9,119.67,150.42,84.05,74.77,17.47,78.15
478,16,1147.5875,1148.3222,734.68,3,37.3,356.98,154.08,87.64,75.33,17.1,63.31
479,16,1339.2886,1342.7127,3424.1,72,50.9,48.02,158.62,100.74,112.85,16.61,85.19
480,16,1346.196,1347.139,942.97,16,57.9,62.85,161.16,74.22,106.91,16.42,92.07
481,16,1375.3172,1375.7667,449.52,14,40.6,34.33,147.33,76.4,38.57,18.2,74.96
482,16,1380.6619,1381.9076,1245.7,9,58.4,155.69,160.83,65.39,98.75,15.56,96.56
483,16,1391.5335,1392.1039,570.34,4,41.4,190.05,145.32,62.93,72.28,16.73,40.08
484,16,1395.7108,1397.9332,2222.37,20,49.2,116.96,156.39,82.84,83.86,13.36,82.51
485,16,1404.6899,1410.1223,5432.41,35,51.5,157.28,160.38,53.74,108.05,19.26,88.1
486,16,1458.3349,1458.8418,506.86,4,43,167.26,159.21,84.08,85.39,12.96,32.69
487,16,1472.1141,1473.6224,1508.34,18,55.3,88.44,165.33,42.62,115.16,31.81,52.82
488,16,1475.3152,1476.4738,1158.56,14,50.5,86.82,163.2,44.79,119.56,31.56,70.73
489,16,1496.891,1498.6243,1733.25,26,52.8,69.31,164.47,87.95,99.11,10.64,53.89
490,16,1499.7484,1501.2922,1543.81,24,51.5,66.68,160.31,48.85,101.45,40.79,97.57
491,16,1553.4885,1554.3984,909.86,13,50.2,75.8,161.77,48.1,110.94,23.84,43.7
492,16,1585.124,1585.3131,189.05,9,28.1,23.61,144.36,110.13,52.92,17.16,86.86
493,17,26.2684,27.3206,1052.18,11,56.9,105.2,167.45,31.25,117.77,35.28,78.19
494,17,30.1299,30.7386,608.73,7,51.3,98.84,172.14,51.27,105.39,26.65,72.14
495,17,47.3614,48.9932,1631.75,17,47.6,101.91,157.13,37.66,116.63,34.41,94.92
496,17,97.4511,98.32,868.94,5,50.1,216.86,170.8,50.25,96.26,32.35,86.34
497,17,210.0802,210.5964,516.22,4,40.8,171.6,159.25,51.98,84.12,20.85,108.77
498,17,213.9179,215.7322,1814.34,9,49.6,226.6,162.13,54.38,88.8,23.23,74.46
499,17,432.63,433.2628,632.77,3,39.8,310.01,159.09,40.36,102.58,24.42,97.69
500,17,449.2693,449.3658,96.51,3,31.2,48.16,146.05,34.72,44.81,22.31,81.75
501,17,450.8216,451.4482,626.6,3,41.2,313.2,147.61,41.67,41.81,22.5,75.75
502,17,457.2879,458.1589,870.97,4,52.5,290.26,163.29,26.04,91.27,27,96.05
503,17,467.7689,468.6468,877.96,4,50.7,292.59,162.97,48.61,92.53,25.31,75.38
504,17,532.6218,533.5416,919.79,5,60.1,229.9,158.41,82.64,67.16,15.97,53.66
505,17,538.1073,541.1313,3023.99,16,54.7,201.59,164.09,54.46,80.03,21.63,76.26
506,17,541.6757,542.7382,1062.48,9,54.6,132.79,167.28,66.64,94.25,19.16,78.84
507,17,543.5228,544.5616,1038.75,8,56.9,148.36,166.64,73.5,94.05,17.12,83.34
508,17,619.3293,619.7123,382.97,9,39.9,47.85,142.68,75.42,67.12,9.5,37.12
509,17,620.063,620.9155,852.45,5,45.6,213.06,152.97,85.07,78.86,11.47,38.25
510,17,664.6307,667.1522,2521.51,13,54.9,210.11,163.61,87.74,108.09,9.78,49.15
511,17,827.9121,828.2586,346.47,5,25.4,84.21,143.41,102.06,82.17,19.5,81.83
512,17,1143.7654,1144.5585,793.12,12,52.8,72.08,161.26,83.33,91.55,13.08,48.84
513,17,1148.3463,1148.7341,387.81,10,40.2,43.03,155.23,88.7,44.98,15.56,26.38
514,17,1172.8741,1173.4631,588.95,10,47.1,65.25,169.38,36.45,97.33,30.72,84.82
515,17,1175.1589,1176.2867,1127.8,21,39.8,53.91,163.03,40.49,94.12,41.25,83.17
516,17,1178.7445,1179.0874,342.9,6,36.6,64.11,160.5,43.48,78.81,38.51,70.73
517,17,1180.7299,1181.7138,983.94,17,36.8,58.32,158.42,44.85,74.66,36.73,69.92
518,17,1249.8831,1251.4538,1570.68,13,40.1,128.53,157.24,86.2,112.89,15.3,51.63
519,17,1267.0823,1267.6374,555.09,4,37.9,184.96,159.24,55.56,82.83,22.08,50.77
520,17,1577.6889,1578.7957,1106.79,35,59.3,32.53,169.77,65.9,99.42,21.9,45.7
521,17,1580.2776,1580.7404,462.82,19,54.4,24.86,166.82,67.49,100.68,18.39,46.3
522,17,1582.6646,1583.8088,1144.12,23,59.6,52,167.18,59.18,109.61,15.8,92.96
523,17,1593.3523,1593.6931,340.81,6,37.5,65.13,159.33,86.77,89.99,20.01,51.48
524,17,1598.1872,1600.2943,2107.12,73,48.5,29.25,170.43,62.8,81.08,27.63,86.79
525,17,1610.6926,1611.2153,522.74,9,41.3,64.84,169.19,105.56,112.59,24.74,78.09
526,17,1615.8278,1616.5213,693.53,14,46.8,51.33,171.49,44.63,110.51,29.63,77.94
527,17,1630.8428,1631.2787,435.92,8,39.6,62.25,161.81,50.35,104.62,19.27,98.09
528,17,1743.9418,1746.7429,2801.08,33,40.4,86.81,152.94,84.62,103.4,15.54,45.22
529,17,1759.962,1761.5306,1568.55,19,53,87.13,164.46,59.56,127.34,32.04,62.11
530,17,1764.4687,1765.8325,1363.83,16,43.3,89.55,159.31,85.16,105.5,16.13,58.12
531,18,93.153,95.4287,2275.69,29,43.9,81.02,153,112.39,110.15,13.47,27.87
532,18,262.2203,263.1697,949.37,17,52.1,59.32,155.08,106.11,118.06,8.34,24.29
533,18,317.7242,318.355,630.85,8,35.2,85.12,144.87,122.48,105.96,7.19,12.82
534,18,390.6697,391.8066,1136.86,13,48.9,94.72,158.95,91.8,110.21,18.04,34.94
535,19,49.6325,50.2088,576.29,9,52.7,53.59,162.66,61.54,81.31,21.38,105.19
536,19,57.3568,57.7906,433.83,6,46.6,86.5,164.67,64.44,93.84,34.47,106.8
537,19,93.0987,94.0928,994.12,37,53.1,27.61,168.04,72.83,77.11,25.71,105.2
538,19,102.1046,102.2277,123.01,3,68.3,61.4,168.57,71.76,69.75,26.62,85.31
539,19,102.7225,103.3733,650.79,13,57.2,54.22,168.82,63.84,74.99,15.58,102.46
540,19,104.1432,104.4323,289.06,6,51.6,57.66,171.53,80.85,84.82,22.07,99.85
541,19,104.898,105.7065,808.48,17,60.1,50.52,173.46,74.14,87.42,20.75,97.11
542,19,116.2396,117.5075,1267.86,31,53.7,41.59,173.73,84.35,70.32,25.58,92.45
543,19,457.5159,457.5813,65.42,3,33.5,32.61,145.68,115.16,111.94,8.25,40.88
544,19,484.1164,484.3623,245.86,6,35.6,48.9,156.09,85.92,76.09,15.41,54.76
545,19,488.3277,488.3803,52.65,3,32.8,26.23,145.36,75.23,47.62,17.81,61.5
546,19,615.4784,616.4221,943.69,28,62.6,34.94,178.58,88.79,121.64,11.47,34.41
547,19,1233.6954,1233.759,63.66,5,50.4,15.86,161.09,102.43,112.61,15.41,34.65
548,19,1307.0124,1308.5369,1524.46,52,60.2,29.74,176.21,68.08,112.63,20.14,67.55
549,19,1330.4355,1331.239,803.41,28,60.8,29.75,178.19,69.57,104.73,17.9,78.09
550,19,1331.8291,1332.7505,921.39,47,59.3,20,177.04,77.58,94.22,13.37,74.76
551,20,155.1413,156.2005,1059.2,34,50.4,31.83,166.72,123.6,109.34,7.31,26.11
552,20,157.9348,158.482,547.19,23,45,24.86,159.71,92.3,97.33,15.02,93.29
553,20,200.8949,201.2433,348.46,14,51.2,26.79,160.69,88.67,113.06,8.28,61.47
554,20,201.4546,202.9679,1513.29,41,43.7,37.83,152.83,102.03,104.38,9.47,63.29
555,20,235.8828,237.2467,1363.92,19,52.5,71.11,162.15,97.19,108.12,11.33,51.11
556,20,237.6828,238.3572,674.38,11,57.2,67.42,168.38,92.8,113.78,8.74,33.09
557,20,545.2425,546.1077,865.2,32,36,27.62,145.38,106.25,69.23,16.89,82.8
558,20,550.8657,551.3989,533.15,23,38.3,24.22,153.02,100.77,102.94,10.05,59.43
559,20,919.6682,921.4902,1821.95,23,44.7,75.05,160.27,76.85,99.63,17.77,108.11
560,20,927.1547,927.9766,821.81,29,47,29.34,168.95,40.83,90.06,25.45,112.13
561,20,1481.9693,1482.5607,591.38,6,35,118.24,153.94,82.97,96.38,20.38,49.78
562,21,334.8754,337.5089,2633.46,37,50.7,72.76,164.55,93.56,111.16,8.57,33.22
563,21,366.9882,368.5212,1533.03,31,39,49.52,156.49,101.75,106.85,12.13,61.03
564,21,649.1256,650.2403,1114.73,8,47.7,159.22,162.69,97.91,105.6,12.54,34.73
565,21,690.5612,692.3303,1769.14,14,47.1,136.07,158.78,91.52,108.64,9.16,31.62
566,21,707.4334,711.7173,4283.9,109,54.4,39.65,170.47,117.92,111.55,8.25,35
567,21,713.918,716.6605,2742.47,62,47.7,44.86,168.23,105.89,102.2,9.27,68.62
568,21,728.5487,729.8574,1308.69,40,47.2,33.55,162.53,110.1,101.56,13.03,47.71
569,21,732.2148,732.8356,620.77,15,45.9,43.29,163.1,123.8,111.41,6.91,33.52
570,21,734.4188,734.4761,57.32,3,33.1,28.56,146.6,75.23,90.19,12.56,82.88
571,21,787.8326,788.1446,311.96,5,49.3,77.94,162.64,93.4,70.54,8.21,52.99
572,21,796.6268,799.9601,3333.26,46,53.3,74.07,168.19,86.62,85.78,9.71,59.34
573,21,803.1639,805.7464,2582.51,43,49.4,61.48,169.41,103.42,94.29,9.84,47.3
574,21,815.0883,816.3692,1280.94,19,54.1,71.15,168.18,83.33,95.48,12.67,68.45
575,21,826.7288,828.603,1874.22,35,59.3,55.12,171.34,101.59,104.83,9.06,54.45
576,21,829.087,830.0128,925.84,15,52.2,66.12,168.95,81.25,92.21,14.89,57.52
577,21,835.0605,835.9184,857.91,6,50,171.54,161.55,96.93,106.69,11.91,35.91
578,21,841.6242,842.5785,954.3,8,39.9,136.3,154.87,100.91,76.08,7.31,35.09
579,21,987.7462,990.1597,2413.55,35,45,70.98,166.92,120.41,109.89,8.5,23.53
580,21,1031.2909,1032.2118,920.91,5,41.8,230.18,162.26,96.52,98.29,14.2,42.61
581,21,1053.6285,1055.1333,1504.76,16,41.3,100.31,158.17,115.38,87.64,15.57,68.97
582,21,1056.0296,1056.1721,142.55,6,49.6,27.84,161.13,86.52,85.97,15,81.28
583,21,1056.4503,1056.5302,79.93,3,42.5,39.66,166.82,130.46,111.78,6.58,35.69
584,21,1059.395,1059.8312,436.24,19,35.4,24.23,151.85,90.1,62.68,24.41,65.05
585,21,1204.896,1205.4379,541.88,6,48.8,77.44,159.05,96.35,85.41,11.16,47.81
586,21,1270.3452,1270.6021,256.95,3,54.7,128.38,166.31,60.19,107.62,33.19,82.88
587,21,1281.5159,1282.4242,908.37,20,52.4,47.8,159.59,98.35,83.03,9,42.67
588,21,1284.3604,1286.4875,2127.06,24,42.4,92.47,156.16,70.56,79.59,21.65,61.78
589,21,1294.0161,1294.6367,620.65,7,48.3,103.41,163.39,72.54,92.59,15.7,76.73
590,21,1324.7375,1325.1902,452.71,7,49.7,75.42,165.63,112.34,112.8,8.21,38.89
591,21,1356.8801,1363.0093,6129.22,39,59.5,161.29,164.94,73.14,93.14,15.97,72.26
592,21,1366.4191,1367.1691,750.03,9,50.9,93.73,160.16,78.7,88,22.31,82.81
593,21,1445.7029,1446.429,726.14,35,38.8,20.49,152.39,93.64,45.97,23.19,57.13
594,21,1517.3791,1517.7189,339.73,4,60.6,113.18,168.29,82.03,83.67,14.91,63.56
595,21,1519.9301,1520.387,456.93,10,44.8,50.74,159.23,68.18,88.82,17.81,91.02
596,21,1536.51,1537.6801,1170.08,22,60.6,55.71,165.17,58,53.26,29.02,74.58
597,21,1545.7975,1546.9124,1114.92,33,56.7,30.94,169.39,78.32,82.3,20.61,81.82
598,21,1572.7164,1573.4478,731.44,9,48.3,89.51,163.84,72.22,51.29,35.76,82.16
599,21,1574.7073,1574.9,192.74,5,41.9,47.77,156.06,70.65,43.28,30.32,60.76
600,21,1638.8046,1639.1707,366.07,8,37.8,52.27,150.28,108.94,75.24,14.44,48.26
601,21,1642.144,1642.7743,630.26,8,57,90.01,163.71,91.8,86.41,10.12,54.07
602,21,1643.509,1645.3447,1835.72,27,58,70.6,169.82,124,109.82,7.49,22.54
603,21,1646.6629,1646.9817,318.78,11,55.8,31.86,163.08,99.91,98.13,9.97,43.82
604,22,58.8337,59.8365,1002.8,9,37.5,124.85,152.92,85.67,45.78,25.93,51.29
605,22,69.8623,70.0223,160.01,6,37.7,31.96,153.77,83.76,95.25,17.47,34.76
606,22,194.5342,195.4036,869.36,15,45.8,61.75,162.07,103.3,105.88,10.78,48.85
607,22,423.3267,424.5808,1254.11,12,51.4,113.99,156.9,68.87,91.22,19.31,63.61
608,22,440.7779,441.1973,419.42,12,46.4,37.36,157.17,92.87,68.01,16.63,63.5
609,22,445.8074,447.5835,1776.14,47,41.2,38.59,153.79,90.47,42.47,19.49,54.92
610,22,463.0865,463.2544,167.83,3,54.5,83.81,154.39,81.02,75.19,9.94,62.06
611,22,463.8051,464.6753,870.19,9,51.5,108.75,163.44,82.37,95.31,10.5,57.38
612,22,581.8017,582.0132,211.54,6,58.4,42.27,150.26,79.86,98.91,12.19,88.22
613,22,625.8723,626.2278,355.5,3,72.4,177.65,163.38,76.39,88.88,13.69,62.62
614,22,697.6136,698.2774,663.82,4,50,221.21,156.9,86.81,79.45,12.23,66.23
615,22,730.7066,730.806,99.4,4,46.4,33.06,150.57,72.05,38.53,17.72,88.31
616,22,754.0102,754.1211,110.94,3,34.1,55.37,152.51,43.7,84.16,37.57,88.11
617,22,762.7737,763.1297,355.96,7,38,59.23,149.95,70.36,68.68,20.13,94.77
618,22,776.7467,777.0292,282.56,5,38,70.59,147.31,61.11,63.45,20.81,79.31
619,22,783.778,784.2772,499.2,15,32.9,35.64,141.22,67.71,60.9,22.09,78.64
620,22,796.6319,796.884,252.14,14,40.5,19.38,148.34,49.73,67.26,38.97,81.92
621,22,801.4155,801.7239,308.32,10,36.4,34.24,146.6,66.15,75.15,20.31,87.02
622,22,807.2488,807.6084,359.61,5,48.3,89.85,152.91,70.83,84.15,15.86,81.45
623,22,808.8666,809.0107,144.08,4,40,47.54,158.7,67.46,107.93,21.7,78.2
624,22,813.2266,813.7975,570.88,4,51.7,190.23,159.45,69.01,90,19.97,72
625,22,815.183,815.7459,562.91,4,45.9,187.57,150.12,61.2,69.05,12.66,88.73
626,22,878.7882,878.9141,125.87,6,50.4,25.13,153.78,52.08,56.91,38.44,86.62
627,22,1054.9595,1055.2641,304.58,3,54.2,152.19,149.49,78.12,49.5,17.44,58.12
628,22,1055.7217,1056.4942,772.48,8,50.2,110.32,157.7,74.87,98.93,17.09,88.31
629,22,1057.0715,1057.631,559.59,5,53.3,139.85,162.33,100.69,115.65,8.1,27
630,22,1079.9588,1082.0452,2086.45,27,48.9,80.24,159.89,96.45,107.33,9.04,38.52
631,22,1086.0236,1086.4221,398.54,6,39.1,79.67,157.91,82.18,72.38,12.38,65.44
632,22,1100.0996,1100.8694,769.86,7,53.4,128.28,158.37,92.01,103.18,15.35,44.36
633,22,1114.9312,1115.2909,359.63,4,46.7,119.81,164.86,80.3,72.7,26.02,55.83
634,22,1124.1988,1125.0565,857.69,6,46.7,171.5,160.35,78.7,67.78,13.5,50.44
635,22,1161.6096,1162.4646,855.05,12,45.9,77.71,163.63,95.87,92.52,12.02,66.22
636,22,1184.2934,1185.0841,790.72,20,44.7,41.61,157.11,92.1,83.5,10.86,62.38
637,22,1276.3295,1276.5258,196.31,6,23.9,39.22,145.17,123.4,61.34,25.83,96
638,22,1573.8201,1574.7653,945.15,12,41.8,85.9,156.1,84.64,111,9.84,50.91
639,22,1608.5645,1608.8462,281.76,3,32.3,140.78,149.7,87.38,78.19,13.31,45.56
640,22,1638.8474,1639.4925,645.08,6,44.6,128.43,163.45,105.32,113.38,8.83,34.94
641,22,1657.2197,1657.8005,580.82,25,30.3,24.18,146.46,98.49,105.78,14.92,76.4
642,22,1725.8932,1726.9914,1098.16,11,49.9,109.79,159.86,77.44,82.9,17.93,61.59
643,22,1731.2455,1731.3632,117.75,7,52.7,19.59,151.43,87.8,92.17,11.81,50.87
644,22,1778.2499,1780.2375,1987.64,17,44.6,124.21,159.74,80.68,82.68,18.7,61.57
645,23,0.7731,1.399,625.85,6,61.6,125.13,160.89,76.1,67.59,15.56,70.88
646,23,6.2293,7.2648,1035.54,11,48.8,103.38,163.91,96.12,82.23,16.16,61.82
647,23,16.5694,19.2169,2647.48,102,53.2,26.21,156.51,99.2,88.92,18.01,48.14
648,23,23.3487,24.7605,1411.76,53,43.5,26.8,150.78,79.89,55.58,19.51,44.97
649,23,31.8009,32.9521,1151.12,15,55.6,82.21,162.07,71.41,86.96,17.81,54.23
650,23,35.1726,35.5838,411.17,21,53,20.55,156.58,73.91,84.11,21.86,73.02
651,23,36.8096,37.2002,390.63,13,55.5,32.54,154.98,71.85,46.04,11.81,47.12
652,23,44.5909,45.2282,637.28,32,44.7,20.55,148.24,70.91,86.71,19.32,86.99
653,23,138.055,138.3474,292.44,12,46.1,26.57,146.51,70.89,82.64,25.64,75.28
654,23,155.0407,156.2733,1232.53,14,58.2,94.79,164.48,84.2,98.04,17.72,32.1
655,23,248.7088,249.4431,734.27,8,51.8,104.87,149.85,80.51,74.25,13.22,67.36
656,23,251.1508,251.1961,45.28,3,47.9,22.54,149.56,75.23,103.12,11.62,76.31
657,23,252.6949,252.8933,198.45,6,56.4,39.65,156.19,100.41,113.06,7.41,30.94
658,23,408.796,409.5465,750.47,13,43.8,62.23,153.76,94.39,36.03,18.73,54.19
659,23,449.4302,450.1447,714.47,9,39.1,89.28,159.45,74.17,61.5,26.3,65.13
660,23,1669.9881,1670.353,364.9,4,58.7,121.57,161.38,98.09,103.92,15.05,37.27
661,23,1707.074,1707.3697,295.77,4,54.4,98.52,153.03,67.27,79.88,14.34,25.88
662,23,1729.9734,1730.7097,736.38,5,53.7,184.04,163.95,98.61,111.94,8.32,41.51
663,23,1741.1347,1741.5228,388.1,4,48.8,128.76,157.93,93.32,78.05,13.5,56.95
664,24,4.4677,4.6111,143.44,6,49.4,28.65,155.63,76.39,83.16,20.25,79.5
665,24,11.0427,11.4261,383.43,8,50.5,54.59,160.12,83.64,80.95,20.15,54.67
666,24,134.5838,136.3464,1762.59,54,39.2,32.7,148.18,104.19,77.62,15.66,53.27
667,24,238.2908,238.6037,312.91,4,40.6,104.24,156.71,59.9,68.48,16.59,77.34
668,24,311.3141,311.8474,533.3,6,41,106.62,164.28,104.01,118.92,8.92,20.95
669,24,312.031,312.8208,789.82,10,41,87.73,161.21,118.25,116.1,8.62,33.08
670,24,493.5517,494.4456,893.87,13,44.8,74.47,163.67,114.5,99.24,10.93,36.16
671,24,553.618,555.0262,1408.23,25,45.1,58.67,163.2,119.06,95.29,8.7,38.89
672,24,579.5972,579.8263,229.15,6,41.6,45.79,152.89,110,58.71,17.85,61.24
673,24,580.488,581.8808,1392.76,18,55.6,81.92,164.44,92.79,84.41,12.53,75.91
674,24,634.3184,635.0904,771.99,7,45.7,128.63,156.35,116.92,94.93,10.71,48.47
675,24,646.0223,646.6761,653.83,19,44.3,36.31,153.44,114.92,61.22,13.88,45.65
676,24,665.3336,665.4356,101.99,3,59.5,50.89,159.61,65.97,76.31,26.81,98.44
677,24,667.3885,667.5767,188.24,6,47.9,37.61,159.26,114.49,81.06,12.59,43.12
678,24,759.0207,759.1626,141.91,5,46,35.43,148.84,73.96,92.7,22.16,90.34
679,24,1244.221,1245.2585,1037.52,16,33.8,69.14,149.47,88.16,50.69,32.51,69.25
680,24,1245.8402,1246.795,954.84,14,33,73.17,152.65,77.74,61.31,30.88,75.64
681,24,1273.4272,1273.9018,474.6,4,51,158.13,164.65,97.66,110.67,8.44,42.89
682,24,1323.9363,1324.5566,620.31,20,42,32.64,159.22,98.35,87.86,10.97,67.33
683,24,1355.2391,1355.3181,79.02,5,24.8,19.7,145.99,115.53,56.13,29.08,99.87
684,24,1585.0119,1585.2803,268.42,4,41.7,89.1,163.7,91.55,109.62,14.65,47.2
685,25,89.7597,90.0248,265.04,4,52.8,88.28,161.1,100.69,101.11,13.64,49.36
686,25,377.2113,377.7257,514.45,6,38.4,102.5,159.04,94.6,55.61,25.55,53.73
687,25,391.0305,393.0234,1992.94,17,55.4,121.25,167.86,104.58,88.75,9.58,29.54
688,25,395.8791,396.0627,183.54,4,63.1,61.11,159.2,100.26,89.72,7.03,11.81
689,25,438.325,438.4511,126.04,5,47.9,31.46,154.19,121.18,88.76,16.88,35.89
690,25,457.6131,457.7341,120.97,3,44.2,60.39,160.86,72.34,94.88,17.06,62.62
691,25,459.4238,460.589,1165.19,7,41.3,157.86,157.59,103.58,87.76,10.23,75.36
692,25,532.3799,533.5546,1174.66,28,42.7,43.5,151.13,108.25,66.04,25.22,49.29
693,25,535.9867,536.1941,207.43,3,53.4,103.62,161.93,86.81,75.56,15.56,88.88
694,25,561.5484,562.7969,1248.47,49,32.7,26.01,134.62,95.95,51.36,24.39,57.7
695,25,601.5715,602.334,762.55,15,71.8,54.45,172.76,80.09,94.95,19.73,64.99
696,25,854.9821,855.9339,951.83,11,51.9,94.94,160.23,88.54,108.87,9.05,47.51
697,25,875.7434,876.1501,406.67,4,47.8,135.49,160.07,87.67,98.86,11.81,46.97
698,25,1119.2396,1120.4637,1224.07,15,47.9,87.42,160.94,67.45,66.73,33.82,71.43
699,25,1146.9275,1147.6242,696.68,6,44.8,139.3,160.77,100.83,83.69,11.27,45.84
700,25,1160.6327,1160.9745,341.83,6,46.4,68.3,160.67,83.81,92.52,17.19,60.4
701,25,1186.7786,1188.0372,1258.65,60,57.5,21.33,168.77,89.47,109.03,10.93,48.08
702,25,1194.7896,1195.6236,833.97,9,39.6,104.22,156.17,74.94,90.05,23.92,61.5
703,25,1201.8967,1203.5045,1607.79,58,59.6,28.2,166.75,100.04,119.05,8.11,30.1
704,25,1552.5848,1552.7744,189.62,5,54.8,47.36,161.51,59.38,64.24,27.34,85.72
705,25,1553.1753,1553.2486,73.33,5,46.3,18.28,160.04,74.65,54.67,33.08,104.06
706,26,357.675,357.7666,91.6,6,49.5,18.28,156.88,83.33,55.22,25.78,66.75
707,26,358.0716,358.1667,95.11,7,46.7,15.82,152.4,74.4,38.81,17.2,39.86
708,26,363.6672,363.7732,106.03,5,55.6,26.46,160.35,86.11,84.83,9.45,88.88
